COUNTRY,2011,2012,2013,2014,2015,2016
Albania,50.1,52.8,51.9,41.0,51.9,43.2
Armenia,41.7,50.1,48.8,45.5,36.4,38.3
Austria,482.2,491.5,467.5,442.6,440.5,462.3
Azerbaijan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Belgium,777.1,713.1,681.6,684.0,663.3,657.8
Bosnia-Herzegovina,17.0,16.1,16.3,17.0,28.9,29.8
Bulgaria,19.9,19.2,19.3,19.5,18.6,16.4
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,19.5,17.2,15.2,15.6,16.6,17.1
Czech Republic,50.2,49.9,51.1,49.5,49.6,47.8
Denmark,223.8,210.6,208.5,210.5,215.7,270.9
Estonia,413.6,444.7,456.5,439.0,470.5,461.0
Finland,747.3,707.8,654.5,604.0,619.1,615.4
France,390.9,399.2,399.8,417.5,449.0,454.5
Georgia,9.1,89.1,96.0,86.8,122.5,123.6
Germany,646.0,653.0,634.9,625.3,624.9,670.2
Greece,140.1,136.0,52.7,53.6,54.5,56.9
Hungary,142.6,140.9,135.2,136.7,127.9,118.1
Iceland,89.2,95.8,91.3,100.1,100.0,89.6
Ireland,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Italy,115.4,117.1,111.1,108.9,105.3,104.1
Kosovo,208.6,210.8,35.8,44.9,21.8,20.5
Latvia,58.7,59.6,58.2,60.7,45.4,60.7
Lithuania,134.5,345.7,412.8,395.3,385.2,371.1
Luxembourg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Malta,267.0,247.2,226.7,230.5,210.6,200.0
Moldova,43.1,41.1,37.4,36.2,31.9,32.5
Montenegro,64.9,76.9,73.3,57.0,52.6,52.2
Netherlands,362.9,344.2,318.5,302.5,285.7,276.8
Norway,296.4,298.0,283.6,268.7,270.6,236.2
Poland,137.9,131.5,121.5,105.4,88.9,92.6
Portugal,565.0,529.7,521.9,517.7,505.2,507.5
Romania,496.3,505.3,455.0,603.3,608.5,635.7
Russia,20.8,20.3,21.2,20.4,18.9,17.4
Serbia,42.3,41.6,40.1,37.7,37.2,35.5
Slovakia,41.3,40.4,37.3,36.7,35.7,30.7
Slovenia,96.3,98.9,89.8,80.4,74.7,72.2
Spain,39.3,37.1,35.7,36.1,41.0,37.3
Sweden,1006.3,972.7,889.3,910.1,918.2,944.9
Switzerland,121.0,117.2,113.1,103.1,97.1,100.4
North Macedonia,31.3,32.2,31.0,38.0,38.0,33.2
Turkey,323.4,351.1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,28.7,25.1,128.8,99.7,95.2,83.4
UK: England and Wales,616.4,559.0,553.4,632.1,721.0,782.8
UK: Northern Ireland,55.0,61.9,57.1,63.8,69.9,62.9
UK: Scotland,103.6,88.3,68.4,61.1,58.9,74.1
