COUNTRY,2011,2012,2013,2014,2015,2016
Albania,25.5,38.1,46.0,61.4,80.9,113.9
Armenia,46.7,34.8,42.2,36.0,31.0,33.6
Austria,309.2,283.0,334.0,355.6,383.3,416.5
Azerbaijan,29.1,26.1,26.9,31.8,30.7,31.8
Belgium,437.6,399.7,435.0,493.1,466.7,484.8
Bosnia-Herzegovina,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bulgaria,38.7,40.4,41.9,44.7,55.7,66.2
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,111.9,119.5,115.0,125.9,111.5,105.3
Czech Republic,36.6,38.4,48.7,53.2,52.7,52.7
Denmark,385.2,389.7,434.5,475.8,415.0,394.6
Estonia,68.7,65.3,77.2,90.4,102.6,98.9
Finland,379.4,372.2,417.5,399.6,427.7,457.1
France,298.0,302.4,317.6,326.6,327.1,328.4
Georgia,84.5,70.4,262.9,162.8,137.4,128.0
Germany,294.8,295.2,314.8,342.6,348.0,368.2
Greece,71.6,68.8,103.8,108.3,111.2,113.7
Hungary,60.0,52.5,56.0,65.9,67.2,65.8
Iceland,571.2,641.2,678.3,729.3,580.7,563.3
Ireland,384.4,356.9,332.4,342.0,321.8,339.4
Italy,57.3,57.0,56.3,54.7,53.6,59.6
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Latvia,94.8,134.5,80.9,138.1,177.7,60.7
Lithuania,72.8,98.4,75.8,85.2,84.2,78.6
Luxembourg,#VALUE!,#VALUE!,600.0,762.3,830.4,690.8
Malta,42.9,48.6,49.2,44.7,35.7,48.2
Moldova,46.6,44.3,32.8,36.2,33.5,30.9
Montenegro,49.5,30.1,27.7,28.8,29.6,33.1
Netherlands,102.8,105.1,101.5,96.9,87.4,78.3
Norway,406.2,433.3,457.7,432.9,384.6,316.6
Poland,195.8,200.6,189.0,130.4,121.9,135.0
Portugal,53.2,56.1,53.8,56.2,64.2,70.4
Romania,21.5,27.7,15.2,16.3,23.1,22.3
Russia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Serbia,68.1,66.2,78.6,87.0,80.2,99.2
Slovakia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slovenia,82.3,94.4,91.5,90.1,90.7,76.6
Spain,32.6,31.0,30.6,28.8,26.0,26.8
Sweden,977.1,1026.9,1037.8,1018.4,990.6,949.6
Switzerland,1159.0,1167.4,1210.2,995.0,1045.5,1000.0
North Macedonia,29.0,29.3,26.1,34.7,29.5,29.4
Turkey,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,116.7,99.7,74.9,67.4,60.6,54.1
UK: England and Wales,416.1,375.1,352.6,311.3,262.1,238.6
UK: Northern Ireland,208.3,240.1,258.6,274.3,299.7,290.8
UK: Scotland,648.1,661.6,651.1,666.0,685.6,656.4
