COUNTRY,2011,2012,2013,2014,2015,2016
Albania,11.6,16.0,19.4,18.9,13.6,19.8
Armenia,22.6,27.2,30.9,33.7,30.2,32.1
Austria,347.8,431.9,415.5,353.4,346.4,348.7
Azerbaijan,17.4,18.6,25.3,28.2,38.2,45.1
Belgium,134.9,200.4,193.4,199.6,211.7,210.4
Bosnia-Herzegovina,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bulgaria,34.2,31.2,40.0,44.7,56.5,50.4
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,23.3,27.1,23.9,17.4,15.9,18.7
Czech Republic,86.4,93.0,104.0,102.3,101.0,93.2
Denmark,179.7,168.2,214.3,282.3,534.5,665.8
Estonia,125.4,121.0,181.3,150.4,104.9,117.4
Finland,331.0,387.8,420.8,431.4,466.5,456.8
France,315.5,254.4,281.3,284.0,303.8,319.0
Georgia,39.9,41.7,38.5,36.8,40.8,37.0
Germany,795.3,817.4,812.7,800.4,790.8,701.3
Greece,17.3,19.8,27.8,29.3,31.7,41.7
Hungary,279.5,371.6,376.9,337.8,324.4,441.3
Iceland,133.5,124.5,125.5,105.9,117.0,123.9
Ireland,120.2,124.2,103.9,111.2,123.6,104.5
Italy,178.0,196.6,235.6,219.2,238.5,249.7
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Latvia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lithuania,179.5,165.8,186.4,201.6,153.6,107.7
Luxembourg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Malta,64.8,86.0,148.2,100.1,106.9,111.0
Moldova,44.2,46.4,58.0,58.1,58.4,64.1
Montenegro,14.2,12.6,15.6,11.4,6.1,7.7
Netherlands,153.6,165.1,130.9,117.2,221.4,266.0
Norway,269.0,285.2,287.0,279.3,339.1,409.9
Poland,261.7,242.1,264.3,288.7,316.6,269.3
Portugal,87.7,104.7,113.1,116.7,162.8,176.7
Romania,179.3,160.3,183.2,156.5,151.3,132.2
Russia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Serbia,26.0,21.3,34.5,31.9,33.6,30.6
Slovakia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slovenia,161.6,202.4,214.6,186.3,141.8,136.4
Spain,92.9,108.2,102.8,122.2,160.3,138.4
Sweden,1114.9,1243.1,1414.0,1495.1,1788.9,1976.6
Switzerland,138.7,159.2,162.2,122.1,131.2,128.4
North Macedonia,21.2,26.2,32.1,17.9,14.9,14.7
Turkey,4.6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,52.8,51.3,103.9,92.7,107.4,108.0
UK: England and Wales,254.1,292.1,363.9,391.8,1066.1,1098.9
UK: Northern Ireland,152.1,200.8,199.9,206.0,120.4,170.2
UK: Scotland,169.5,167.3,167.0,151.2,128.7,136.9
