COUNTRY,2011,2012,2013,2014,2015,2016
Albania,11.5,11.8,11.3,8.8,6.7,7.1
Armenia,2.7,2.3,2.5,2.8,2.9,3.4
Austria,2.2,2.3,2.0,1.3,1.6,1.7
Azerbaijan,11.9,11.9,12.2,11.2,9.1,7.9
Belgium,9.7,9.4,9.1,9.5,9.9,9.3
Bosnia-Herzegovina,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bulgaria,2.6,2.5,2.4,2.2,2.2,2.2
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,2.5,3.6,2.2,2.3,2.7,2.1
Czech Republic,1.6,1.8,1.7,1.5,1.5,1.3
Denmark,3.7,3.4,3.7,3.7,3.4,4.4
Estonia,7.5,6.0,4.7,4.2,3.8,3.3
Finland,8.2,8.5,6.9,8.1,7.6,7.4
France,3.6,3.8,3.7,3.9,4.8,5.2
Georgia,8.9,10.2,7.2,4.5,6.3,5.4
Germany,2.8,2.7,2.7,2.8,2.7,3.0
Greece,2.0,2.1,3.3,2.7,2.6,2.1
Hungary,2.8,2.2,2.5,2.4,1.9,2.0
Iceland,1.9,2.2,1.9,2.1,1.2,2.1
Ireland,0.9,1.1,1.1,1.1,0.7,0.8
Italy,3.3,3.1,2.9,2.8,2.8,2.4
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Latvia,4.4,5.6,3.7,4.2,4.4,3.4
Lithuania,6.9,6.6,6.3,5.9,6.5,5.6
Luxembourg,#VALUE!,#VALUE!,15.8,16.0,12.3,13.4
Malta,2.2,3.8,1.7,2.6,1.1,1.3
Moldova,6.1,6.3,6.0,4.8,5.0,5.1
Montenegro,3.4,2.6,1.4,3.1,2.7,3.9
Netherlands,25.4,23.3,21.0,20.0,19.2,18.4
Norway,2.3,0.5,0.9,0.6,0.5,0.5
Poland,2.2,2.0,1.9,1.7,1.5,1.4
Portugal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Romania,1.8,2.1,1.7,1.7,1.6,1.3
Russia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Serbia,4.2,4.3,4.9,4.0,3.3,3.6
Slovakia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slovenia,0.9,0.9,0.7,0.7,1.2,0.6
Spain,2.6,2.4,2.1,2.3,2.1,2.4
Sweden,9.8,9.2,8.5,9.1,9.8,10.0
Switzerland,2.9,2.9,2.6,2.1,2.4,2.8
North Macedonia,3.4,2.3,3.5,3.6,2.9,2.2
Turkey,4.2,4.2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,5.5,4.6,13.1,25.5,19.4,14.2
UK: England and Wales,1.9,1.8,1.8,1.9,2.2,2.5
UK: Northern Ireland,7.6,6.8,7.4,7.7,6.5,5.4
UK: Scotland,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
