COUNTRY,2011,2012,2013,2014,2015,2016
Albania,6.0,7.7,9.3,8.7,6.3,4.8
Armenia,10.5,9.5,8.9,9.9,9.7,10.3
Austria,48.5,48.7,44.2,40.9,39.8,35.7
Azerbaijan,5.0,4.2,3.8,4.2,5.7,5.0
Belgium,248.6,231.2,205.6,196.1,199.3,181.1
Bosnia-Herzegovina,25.4,26.3,31.1,29.4,0.0,30.0
Bulgaria,42.2,40.6,41.0,32.3,27.2,23.5
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,16.3,20.1,17.2,12.1,11.0,12.4
Czech Republic,37.0,32.5,29.0,24.2,19.2,15.6
Denmark,40.4,38.4,40.4,27.8,25.6,28.7
Estonia,39.5,34.5,36.1,27.4,25.6,18.8
Finland,30.2,29.9,28.1,31.0,28.3,30.5
France,193.8,198.4,200.0,182.9,168.2,160.6
Georgia,16.7,18.4,26.2,16.9,21.3,15.3
Germany,59.9,60.6,58.7,56.3,55.0,52.3
Greece,40.9,35.2,50.1,39.5,44.0,47.6
Hungary,31.9,30.4,23.0,19.7,14.5,11.5
Iceland,13.2,15.6,15.2,15.7,16.1,15.0
Ireland,61.9,58.3,58.7,54.6,51.8,41.4
Italy,68.3,71.8,73.3,64.6,57.7,54.3
Kosovo,35.1,29.2,28.0,24.5,15.8,16.3
Latvia,51.1,47.1,45.3,40.4,39.2,33.1
Lithuania,82.0,64.0,62.8,57.3,54.4,46.5
Luxembourg,#VALUE!,#VALUE!,108.4,111.9,98.4,79.7
Malta,9.4,6.9,6.2,4.7,8.6,5.6
Moldova,32.3,33.0,32.1,31.7,28.0,29.0
Montenegro,21.0,17.7,24.6,29.0,22.7,19.3
Netherlands,93.6,89.3,79.6,62.1,57.6,52.9
Norway,33.0,29.8,33.0,20.8,18.0,15.5
Poland,40.3,37.5,35.6,22.8,18.7,17.9
Portugal,193.2,176.5,159.1,150.3,149.6,129.1
Romania,30.3,32.6,24.9,22.5,21.1,19.6
Russia,89.4,76.9,11.4,10.0,9.5,7.9
Serbia,48.3,52.9,53.6,45.2,42.6,34.2
Slovakia,15.8,18.0,15.4,12.6,9.9,9.7
Slovenia,23.6,23.0,22.0,17.7,14.1,13.6
Spain,188.0,206.3,184.1,152.3,139.0,135.6
Sweden,103.2,97.2,87.5,86.7,86.8,86.9
Switzerland,66.5,76.4,67.5,49.2,39.8,36.9
North Macedonia,24.9,22.8,22.7,14.8,13.4,12.0
Turkey,13.1,13.8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,50.4,43.4,50.0,45.4,51.7,63.9
UK: England and Wales,137.6,119.2,104.4,89.9,87.6,95.6
UK: Northern Ireland,67.3,55.6,52.4,47.8,39.5,35.1
UK: Scotland,48.2,42.2,34.4,28.0,27.9,24.6
