COUNTRY,2011,2012,2013,2014,2015,2016
Albania,1.51,1.52,3.00,3.35,5.16,4.17
Armenia,2.18,3.21,4.01,3.34,3.99,3.94
Austria,44.78,45.15,42.24,39.68,37.95,48.26
Azerbaijan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Belgium,65.74,63.98,64.59,61.69,59.63,63.65
Bosnia-Herzegovina,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bulgaria,7.52,8.00,7.55,7.63,7.01,6.12
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,7.86,5.57,4.04,4.66,4.60,0.00
Czech Republic,#VALUE!,13.50,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Denmark,25.32,25.37,23.63,24.61,28.52,43.66
Estonia,13.54,18.71,18.18,15.12,21.60,20.59
Finland,58.77,59.87,55.06,51.82,50.97,58.10
France,64.31,65.40,65.60,69.36,73.02,75.80
Georgia,8.97,8.63,9.61,7.64,7.35,9.11
Germany,31.08,30.68,31.09,28.28,27.50,30.06
Greece,5.17,6.64,13.27,10.66,10.44,11.05
Hungary,10.33,12.22,12.43,12.69,13.78,14.53
Iceland,89.50,85.43,140.44,98.26,108.78,102.55
Ireland,39.55,40.01,38.57,40.15,44.45,47.18
Italy,7.78,7.89,7.52,7.00,6.58,6.67
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Latvia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lithuania,17.69,14.82,11.84,13.66,12.70,10.52
Luxembourg,#VALUE!,#VALUE!,66.48,65.31,58.26,72.71
Malta,23.37,26.58,26.98,23.05,28.20,24.87
Moldova,12.95,17.36,17.08,18.19,17.97,17.22
Montenegro,4.03,3.87,4.03,4.99,4.18,3.54
Netherlands,39.75,39.12,36.15,35.12,33.28,37.69
Norway,56.13,55.16,51.47,53.68,62.50,75.15
Poland,8.33,7.39,7.27,5.99,5.57,6.38
Portugal,19.83,19.35,20.48,22.47,23.64,23.99
Romania,21.96,23.68,23.66,21.73,22.41,23.65
Russia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Serbia,4.76,4.91,3.93,4.28,3.74,4.34
Slovakia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slovenia,16.68,14.69,15.49,10.72,8.92,11.92
Spain,21.20,19.24,19.10,20.36,21.25,23.35
Sweden,161.41,159.23,166.07,193.51,169.30,189.09
Switzerland,49.88,46.73,47.10,46.43,46.02,47.70
North Macedonia,6.12,5.83,7.32,6.54,5.80,5.50
Turkey,16.08,18.11,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,#VALUE!,2.71,2.48,1.98,1.84,2.08
UK: England and Wales,81.23,92.32,106.93,139.81,178.44,198.71
UK: Northern Ireland,87.20,106.00,122.04,148.28,163.64,169.16
UK: Scotland,126.34,138.49,144.40,160.89,177.87,190.08
