COUNTRY,2011,2012,2013,2014,2015,2016
Albania,9.1,11.1,12.6,10.2,8.0,5.3
Armenia,130.6,122.7,161.0,159.0,176.1,189.3
Austria,2833.5,2852.1,2913.0,2785.0,2589.1,2603.4
Azerbaijan,55.1,45.9,55.0,61.8,66.1,74.1
Belgium,14.9,16.5,18.8,16.7,16.7,18.8
Bosnia-Herzegovina,175.3,173.9,182.8,170.3,142.1,132.6
Bulgaria,961.1,877.3,905.8,831.9,754.7,644.1
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,603.3,522.4,452.8,384.5,338.4,284.0
Czech Republic,1754.1,1665.1,1787.3,1455.5,1131.8,942.3
Denmark,5395.8,5087.4,4939.2,4396.9,3895.9,3815.2
Estonia,1517.3,1405.7,1247.2,1196.1,863.5,682.6
Finland,2813.7,2568.8,2605.6,2625.8,2532.5,2395.2
France,2681.1,2700.3,2794.6,2824.5,2773.8,2745.5
Georgia,254.7,305.5,299.5,213.5,247.4,259.3
Germany,2991.6,2957.6,2906.3,3015.7,3053.3,2883.6
Greece,885.7,820.6,1025.9,940.9,1008.4,1032.0
Hungary,1839.4,1875.0,1702.7,1445.2,1140.8,947.1
Iceland,1916.5,1727.6,1613.8,1477.9,1612.0,1356.3
Ireland,1677.3,1658.5,1701.3,1673.6,1618.9,1370.8
Italy,2459.7,2560.2,2605.0,2588.3,2407.3,2219.8
Kosovo,955.4,902.6,929.9,856.6,682.3,710.8
Latvia,1258.0,1194.6,1123.9,1129.8,1097.8,1057.3
Lithuania,1211.1,1076.8,1050.4,1061.2,882.6,783.1
Luxembourg,#VALUE!,#VALUE!,2350.3,2469.4,2129.6,2111.2
Malta,2053.5,2081.2,2004.5,1909.1,1968.2,1958.4
Moldova,422.9,401.6,432.0,470.2,432.1,435.6
Montenegro,307.7,361.1,305.2,296.5,283.9,217.4
Netherlands,3976.9,3834.4,3798.1,3459.1,3191.4,2881.9
Norway,3025.1,3132.5,2906.8,2603.6,2238.3,2017.8
Poland,972.8,952.5,901.2,729.2,638.7,558.9
Portugal,1612.4,1544.9,1420.2,1343.4,1236.0,1120.3
Romania,1120.1,1214.6,1118.1,1042.7,964.4,833.5
Russia,727.0,693.6,558.8,558.3,771.6,510.1
Serbia,657.9,643.2,871.3,749.2,660.4,595.1
Slovakia,417.3,385.6,382.7,342.8,444.4,292.5
Slovenia,2190.1,2362.0,2473.9,2149.4,1639.7,1555.1
Spain,889.2,867.1,817.0,741.5,694.7,685.1
Sweden,5700.6,5537.0,5490.6,5514.5,5346.1,5024.7
Switzerland,3338.0,3551.3,3232.1,2860.4,2490.3,2254.2
North Macedonia,949.3,1002.4,1000.8,875.8,742.5,751.9
Turkey,247.4,279.6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ukraine,608.8,530.3,535.1,501.3,640.2,733.0
UK: England and Wales,3639.9,3423.0,3286.6,3814.3,3026.3,3117.6
UK: Northern Ireland,2054.2,1952.7,1968.8,1925.8,1843.2,1664.8
UK: Scotland,2941.0,2904.6,2286.1,2306.5,2152.0,1931.4
