COUNTRY,2011,2012,2013,2014,2015,2016
Albania,606.9,712.6,787.4,1079.6,1242.8,1175.7
Armenia,507.9,481.8,633.5,603.8,566.1,625.8
Austria,6447.7,6517.8,6464.8,6202.5,6032.3,6181.2
Azerbaijan,266.3,237.1,239.2,259.6,280.6,274.2
Belgium,9665.5,9391.9,8958.6,8742.8,8191.4,7857.2
Bosnia-Herzegovina,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bulgaria,1745.1,1645.3,1675.9,1573.4,1555.6,1450.6
Croatia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cyprus,1005.3,926.6,819.9,796.4,698.3,#VALUE!
Czech Republic,3024.6,2898.8,3094.0,2745.9,2349.8,2067.1
Denmark,8394.2,7898.5,7662.4,7217.8,6865.1,7033.3
Estonia,3201.3,3079.9,3002.0,2871.7,2477.4,2202.7
Finland,8525.2,7876.3,7827.7,7666.1,7552.1,7503.2
France,5549.6,5479.0,5509.2,5548.9,5540.2,5504.0
Georgia,721.8,861.3,1063.5,813.4,941.0,967.6
Germany,7467.6,7465.7,7403.6,7530.3,7796.6,7754.8
Greece,1744.4,1752.1,1815.8,1740.8,1815.0,1903.0
Hungary,4520.2,4754.7,3813.1,3336.7,2842.2,2957.9
Iceland,17905.7,19349.8,16546.2,20277.8,21385.3,25794.1
Ireland,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Italy,4654.3,4746.0,4845.7,4627.9,4420.1,4100.2
Kosovo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Latvia,2486.4,2440.6,2350.1,2422.1,2386.9,2317.9
Lithuania,2605.1,2746.4,2850.5,2815.5,2476.4,2045.1
Luxembourg,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Malta,3443.2,3741.4,4165.1,3878.0,3897.7,3840.5
Moldova,986.5,1028.6,1072.0,1174.5,1119.0,1124.5
Montenegro,991.7,939.4,950.1,917.3,843.4,774.8
Netherlands,7244.1,6903.3,6588.7,6094.3,5792.4,5479.1
Norway,7725.0,7895.8,7691.2,7284.8,6802.7,6456.2
Poland,3045.7,2941.9,2788.1,2282.8,2104.4,1971.3
Portugal,3939.6,3861.0,3609.8,3386.2,3442.8,3209.4
Romania,3630.6,3442.7,3295.9,3225.8,3156.4,2933.5
Russia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Serbia,1397.3,1346.7,1584.3,1443.0,1389.4,1326.8
Slovakia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slovenia,4327.5,4448.1,4557.6,4244.1,3335.6,2983.0
Spain,2394.2,2374.5,2260.8,2155.5,2358.9,2118.9
Sweden,15041.9,14790.8,14671.4,14969.1,15423.7,15330.4
Switzerland,8804.9,9433.1,9027.0,8097.6,7649.0,7119.9
North Macedonia,1435.3,1453.5,1472.4,1343.5,1193.6,1195.2
Turkey,#VALUE!,2083.3,2168.6,#VALUE!,#VALUE!,#VALUE!
Ukraine,1131.3,976.1,1242.1,1169.5,1321.8,1391.4
UK: England and Wales,7198.0,6698.6,6517.3,6565.5,7633.2,8232.4
UK: Northern Ireland,5622.4,5404.5,5515.4,5605.9,5666.7,5263.5
UK: Scotland,6099.1,5912.9,5125.2,5056.4,4771.1,4556.1
